path,count
.relatedResource[].event[].date[].structuredValue[].value,176
.contributor[].name[].parallelValue[].source.uri,6
.event[].location[].note[].type,1
.event[].location[].note[].value,1
.subject[].structuredValue[].note[].uri,2
.subject[].structuredValue[].note[].code,4
.subject[].structuredValue[].note[].source.uri,2
.subject[].structuredValue[].note[].source.code,4
.subject[].structuredValue[].parallelValue[].source.code,1
.subject[].structuredValue[].parallelValue[].structuredValue[].type,6
.subject[].structuredValue[].parallelValue[].structuredValue[].value,6
.subject[].structuredValue[].parallelValue[].type,2
.subject[].structuredValue[].parallelValue[].value,2
.relatedResource[].subject[].type,14
.relatedResource[].subject[].value,14
.relatedResource[].note[].structuredValue[].groupedValue[].structuredValue[].type,14
.relatedResource[].note[].structuredValue[].groupedValue[].structuredValue[].value,14
.relatedResource[].relatedResource[].purl,2
.relatedResource[].event[].date[].status,3
.relatedResource[].relatedResource[].note[].value,93
.relatedResource[].relatedResource[].note[].type,60
.relatedResource[].relatedResource[].note[].displayLabel,59
.relatedResource[].relatedResource[].title[].type,24
.relatedResource[].relatedResource[].title[].displayLabel,24
.relatedResource[].relatedResource[].contributor[].name[].value,23
.relatedResource[].relatedResource[].contributor[].role[].uri,23
.relatedResource[].relatedResource[].contributor[].role[].value,23
.relatedResource[].relatedResource[].contributor[].role[].source.code,23
.relatedResource[].relatedResource[].contributor[].type,23
.relatedResource[].relatedResource[].title[].structuredValue[].type,48
.relatedResource[].relatedResource[].title[].structuredValue[].value,48
.subject[].source.value,4
.subject[].valueAt,1
.relatedResource[].event[].date[].structuredValue[].status,1
.subject[].parallelValue[].displayLabel,3
.contributor[].name[].parallelValue[].note[].type,1
.contributor[].name[].parallelValue[].note[].value,1
.contributor[].name[].standard.value,1
.event[].contributor[].name[].uri,1
.adminMetadata.event[].contributor[].name[].uri,1
.adminMetadata.contributor[].role[].uri,1
.relatedResource[].event[].contributor[].name[].uri,1
.relatedResource[].form[].parallelValue[].value,18
.subject[].parallelValue[].note[].type,24
.subject[].parallelValue[].note[].value,24
.contributor[].name[].parallelValue[].identifier[].value,2
